VARIABLES = "X" "Pressure" "Temperature" "Density" "Velocity" "H2" "O2" "H2O" "H" "O" "OH" "HO2" "H2O2" "N2" 
0.0 4325561.764221827 2039.6360423639742 5.333884485416223 490.4322680356864 0.028522387527567396 0.22635400697100733 0.0 0.0 0.0 0.0 0.0 0.0 0.7451236055014252
1.0905293988136819e-07 4325562.434654694 2039.6352928368945 5.333887272805836 490.4320117449663 0.028522375431500345 0.22635381194296164 3.7340999135219857e-10 5.910396695671956e-09 1.8371635866052427e-09 2.164452263680148e-09 1.966938053128909e-07 1.4488489704497502e-10 0.7451236055014252
2.1810582259339462e-07 4325563.10725192 2039.6345414546865 5.333890069196915 490.43175462686213 0.02852236319555866 0.22635361231332152 1.433821013358324e-09 1.1745723539717715e-08 5.327719376064942e-09 6.364837776475712e-09 3.9369029287093e-07 4.272999546207147e-10 0.7451236055014252
4.362114734323501e-07 4325564.455878912 2039.633035956777 5.333895676256107 490.4312390787441 0.028522338333679165 0.22635320389684319 5.5404085128162155e-09 2.332278391204257e-08 1.526408617652006e-08 1.860654890072774e-08 7.882814248155576e-07 1.252800041689252e-09 0.7451236055014252
6.543168946203785e-07 4325565.80960885 2039.6315269086037 5.333901304543184 490.43072157989155 0.02852231247127216 0.22635277725740963 1.4825471094917587e-08 3.482577085220783e-08 3.039305484796267e-08 3.8099511494869685e-08 1.1840551334988374e-06 2.5709511300613925e-09 0.7451236055014252
8.72422085509012e-07 4325567.165231216 2039.6300178291767 5.3339069407101425 490.4302033576092 0.028522285205730826 0.22635233239329058 3.1546414442241424e-08 4.645586139283677e-08 4.952665713269244e-08 6.403657810481736e-08 1.5810060278129339e-06 4.328014413754948e-09 0.7451236055014252
1.3949220841638183e-06 4325570.404403497 2039.626420647074 5.333920408015977 490.42896509887373 0.02852221210447335 0.2263511890138133 1.144228014923576e-07 7.57608075985873e-08 1.0791208681575636e-07 1.481342864365655e-07 2.5371256527156455e-06 1.0024653020822292e-08 0.7451236055014252
1.9174207703090694e-06 4325573.613089828 2039.6228704018888 5.3339337486391525 490.427738494209 0.028522125417722994 0.22634992857406747 2.7358998293000723e-07 1.0816720930898194e-07 1.807681977262045e-07 2.59137468115353e-07 3.5013735884163264e-06 1.7470337760518777e-08 0.7451236055014252
2.4399181598821633e-06 4325576.769855907 2039.6193926139906 5.333946873460685 490.4265317374311 0.028522021780774804 0.2263485373022301 5.293636222492549e-07 1.4492216222969356e-07 2.6554826307419674e-07 3.94025562240918e-07 4.475297106521499e-06 2.625885352305788e-08 0.7451236055014252
3.2635973983464865e-06 4325581.606126928 2039.6141015210924 5.333966981251182 490.4246829457178 0.02852181733670573 0.22634603702204842 1.169038520584271e-06 2.137111734752212e-07 4.2478980633264494e-07 6.554312462528052e-07 6.034947256466313e-06 4.2221817489759907e-08 0.7451236055014252
4.0872736033943505e-06 4325586.211144547 2039.609123369051 5.333986127698878 490.42292255671117 0.028521550290690322 0.2263430749633214 2.1729039198896716e-06 2.992285539440357e-07 6.219941643561391e-07 9.810698665483147e-07 7.634092276052263e-06 5.99557822460516e-08 0.7451236055014252
4.910946941362775e-06 4325590.521931506 2039.604544935491 5.33400405093779 490.4212746451 0.028521206153398673 0.22633953917323404 3.627691812416479e-06 4.051807591266791e-07 8.68878833929072e-07 1.3829637532787849e-06 9.285348210264406e-06 7.910857304457194e-08 0.7451236055014252
5.734617625728239e-06 4325594.463562909 2039.600470618222 5.334020439420072 490.41976785290433 0.02852076686053202 0.2263352906651248 5.638955470474766e-06 5.362058653201605e-07 1.1775143576284432e-06 1.8804762619104452e-06 1.100430300456595e-05 9.951795805494536e-08 0.7451236055014252
6.118006376377736e-06 4325596.1467778 2039.5987817065754 5.334027437907453 490.4191243997918 0.028520523601129753 0.226333022952529 6.800940567942549e-06 6.074203297608651e-07 1.3448970959118591e-06 2.1525033307063807e-06 1.183276337544864e-05 1.0942021627163301e-07 0.7451236055014252
6.501394641322025e-06 4325597.718915633 2039.5972451959015 5.334033974574075 490.418523408809 0.02852025217437186 0.22633054450876486 8.126809575083351e-06 6.860613665675844e-07 1.5292049459139468e-06 2.4539870548329925e-06 1.2682167456773774e-05 1.195850389035957e-07 0.7451236055014252
6.88478245533465e-06 4325599.165530411 2039.5958805479236 5.334039989352502 490.41797040231467 0.02851994958889941 0.22632783328505304 9.634829815580563e-06 7.729269734765618e-07 1.7327103281735184e-06 2.786172742329638e-06 1.3554962723310298e-05 1.3002203945180706e-07 0.7451236055014252
7.441899704869198e-06 4325601.012838673 2039.5942467914806 5.3340476701655355 490.41726422026085 0.028519447143873354 0.22632342420259208 1.2193143380885235e-05 9.156973597474759e-07 2.0671400077944284e-06 3.3304897409311333e-06 1.4870972240983137e-05 1.4570937900247294e-07 0.7451236055014252
7.999016225910058e-06 4325602.518306255 2039.5930824597026 5.334053929675809 490.41668871578634 0.028518860813363352 0.22631838617197353 1.5241737774654447e-05 1.0805302975291118e-06 2.453373775603911e-06 3.958238261762739e-06 1.6251562262781308e-05 1.6207086555022186e-07 0.7451236055014252
8.556132179253429e-06 4325603.627289337 2039.5924633425525 5.334058540671795 490.41626477792255 0.02851817774836656 0.2263126216004934 1.885562953324805e-05 1.2707593823930527e-06 2.8993935761124645e-06 4.682707943546691e-06 1.7707467977683096e-05 1.7919130182534923e-07 0.7451236055014252
